kind,game,roots,window_roots,avg_abs_error,avg_sq_error,total_avg_abs_error,total_avg_sq_error,last_abs_error,validation_samples,validation_avg_abs_error,validation_avg_sq_error,validation_last_abs_error,elapsed_ms,roots_per_sec
progress,94,12088,27,0.995894,0.991857,0.397430,0.278465,1.000619,10,0.403255,0.238363,0.020263,1303965,9.3
progress,95,12188,100,0.108471,0.039947,0.395059,0.276508,0.570078,10,0.403255,0.238363,0.020263,1315003,9.3
progress,95,12243,55,0.847533,0.752919,0.397092,0.278648,1.000318,10,0.403255,0.238363,0.020263,1321062,9.3
progress,96,12343,100,0.672675,0.606228,0.399324,0.281302,0.999524,10,0.403255,0.238363,0.020263,1332086,9.3
progress,96,12347,4,1.000078,1.000156,0.399519,0.281535,1.000039,10,0.403255,0.238363,0.020263,1332517,9.3
progress,97,12447,100,0.189362,0.067770,0.397831,0.279818,0.460502,10,0.403255,0.238363,0.020263,1343568,9.3
progress,97,12539,92,0.595877,0.370481,0.399284,0.280483,0.000341,10,0.403255,0.238363,0.020263,1353706,9.3
progress,98,12614,75,0.849284,0.734243,0.401959,0.283181,1.000096,10,0.403255,0.238363,0.020263,1361974,9.3
progress,99,12714,100,0.221828,0.054307,0.400542,0.281381,0.409808,10,0.403255,0.238363,0.020263,1373018,9.3
progress,99,12764,50,0.887034,0.819858,0.402448,0.283490,1.000615,10,0.403255,0.238363,0.020263,1378522,9.3
progress,100,12864,100,0.587542,0.497467,0.403887,0.285153,0.996652,10,0.403255,0.238363,0.020263,1389548,9.3
progress,100,12885,21,0.999516,0.999033,0.404858,0.286317,1.000158,10,0.403255,0.238363,0.020263,1391832,9.3
progress,101,12985,100,0.044260,0.002698,0.402081,0.284133,0.045338,10,0.403255,0.238363,0.020263,1402947,9.3
progress,101,13044,59,0.217262,0.096095,0.401245,0.283282,0.000280,10,0.403255,0.238363,0.020263,1409447,9.3
progress,102,13144,100,0.324939,0.118657,0.400664,0.282030,0.064693,10,0.403255,0.238363,0.020263,1420481,9.3
progress,102,13164,20,0.003163,0.000153,0.400060,0.281601,0.000412,10,0.403255,0.238363,0.020263,1422686,9.3
progress,103,13264,100,0.621326,0.476463,0.401729,0.283071,0.928353,10,0.403255,0.238363,0.020263,1433702,9.3
progress,103,13301,37,0.990843,0.982080,0.403367,0.285015,1.000041,10,0.403255,0.238363,0.020263,1437767,9.3
progress,104,13401,100,0.404856,0.223355,0.403378,0.284555,0.991855,10,0.403255,0.238363,0.020263,1448809,9.2
